type,name,category,description,price,currency,tags
faq,Можно ли оценить перспективы судебного спора?,FAQ,"Да. Юрист анализирует документы, позицию сторон, доказательства, сроки исковой давности и судебную практику, после чего дает оценку перспектив и возможных расходов.",,,"faq,суд,перспективы,риски"
faq,Можно ли срочно проверить договор сегодня?,FAQ,"Да, срочная проверка возможна при наличии свободного юриста. Стоимость зависит от объема договора, сложности условий и срока, к которому нужен результат.",,,"faq,срочно,договор,проверка"
faq,Вы помогаете с договорами для онлайн-школ?,FAQ,"Да. Можно подготовить оферту, политику конфиденциальности, согласие на обработку персональных данных, договор с преподавателем и правила возвратов.",,,"faq,онлайн-школа,оферта,документы"
faq,Можно ли сопровождать переговоры с контрагентом?,FAQ,"Да. Юрист может подготовить позицию, список рискованных условий, проект правок и участвовать в переговорах онлайн или письменно через обмен документами.",,,"faq,переговоры,контрагент,сделка"
faq,Какие споры чаще всего решаются без суда?,FAQ,"Без суда часто удается урегулировать споры по оплате, срокам поставки, качеству услуг, возврату аванса, аренде и расторжению договора.",,,"faq,досудебно,споры,переговоры"
faq,Работаете ли вы с ИП?,FAQ,"Да. Юристы помогают ИП с договорами, претензиями, долгами, арендой, сотрудниками, онлайн-продажами, персональными данными и спорами с контрагентами.",,,"faq,ип,малый бизнес,услуги"
faq,Можно ли заказать только один документ?,FAQ,"Да. Можно заказать отдельный договор, претензию, иск, оферту, политику конфиденциальности, протокол разногласий или ответ на претензию без покупки тарифа.",,,"faq,документ,разовая услуга,договор"
faq,Что входит в абонентское сопровождение?,FAQ,"Обычно в сопровождение входят консультации, проверка и подготовка документов, помощь в переговорах, претензионная работа и рекомендации по снижению юридических рисков.",,,"faq,абонентское,сопровождение,бизнес"
faq,Можно ли вернуть деньги за некачественную услугу?,FAQ,"Да, если есть основания и доказательства нарушения. Юрист изучит договор, переписку, акты и платежи, затем предложит претензию или судебный вариант защиты.",,,"faq,возврат,услуга,претензия"
faq,Помогаете ли вы с персональными данными на сайте?,FAQ,"Да. Можно отдельно заказать подготовку политики конфиденциальности, согласий и текстов для форм. Аудит сайта на юридические риски является отдельной услугой проверки и не заменяет подготовку документов.",,,"faq,персональные данные,сайт,152-фз"
faq,Как выбрать между разовой услугой и тарифом?,FAQ,"Разовая услуга подходит для одного документа или спора. Тариф выгоднее, если у бизнеса регулярно появляются договоры, вопросы сотрудников, претензии или переговоры.",,,"faq,тариф,разовая услуга,выбор"
